productType,sku,prices,name,description,variantId,frameColor,lensColor,color,frameShape,frameMaterial,frameType,mirrorReflection,width,homeTryOn,polarized,options,gender,basePrice,images,categories
focali-product,11111-TS,USD 11000;EUR 12150,Awesome Beach Glasses,"Great to go to the beach, look great and feel awesome!",1,TORTOISE,SILVER,Tortoise/Silver,SQUARE,Acetate,BOTH,true,MEDIUM,false,true,SINGLEVISION,UNISEX,USD 250000,,Sunglasses;Summer 2015
,11111-BR,USD 11000;EUR 12150,,,2,BLACK,RED,Black/Red,,,,,,,,,,,,
,11111-GR,USD 11000;EUR 12150,,,3,GOLD,RED,Gold/Red,,,,,,,,,,,,
,11111-GG,USD 11000;EUR 12150,,,4,GREEN,GREEN,Green/Green,,,,,,,,,,,,
focali-product,11112-TS,EUR 7300;USD 8230,Sport Sunglasses,"Go jogging in a new style",1,TORTOISE,SILVER,Tortoise/Silver,SQUARE,Acetate,SUNGLASS,true,NARROW,false,true,NONPRESCRIPTION,UNISEX,,,Sunglasses
focali-product,11113-BR,EUR 9500;USD 9500,Ray-Ban Justin RB,"Sie sind auf der Suche nach DER Marke für Brillen und Sonnenbrillen? Dann sind Sie hier zweifellos richtig. Ray-Ban ist beliebt wie kein anderes Eyewear-Label und führt auch weiterhin die Topseller-Listen der Welt an. Das wohl bekannteste Modell hört auf den Namen ""Aviator"" und wurde ursprünglich für die Piloten der US-Luftwaffe entworfen. Auch die ""Wayfarer"" und ""Clubmaster"" sind längst Kult und nicht mehr aus den Gesichtern von Brillenfans aus aller Welt wegzudenken. Die Korrektions- und Sonnenbrillen-Modelle des Kultlabels setzen immer wieder Trends. Langweilig wird es dabei nie: Jahr für Jahr wird das Sortiment um neue Formen und Farbvarianten erweitert. Der Mix aus Design, Funktionalität und Qualität bilden das Erfolgsrezept des Labels, zu dessen Anhängern etliche Stars gehören. Zeigen Sie, welches Starpotential in Ihnen steckt!",1,BLACK,RED,Black/Red,ROUND,Plastic,SUNGLASS,true,WIDE,true,false,SINGLEVISION,MEN,USD 200000,http://assets.ray-ban.com/is/image/RayBan/805289526599_shad_qt?$594$;http://mlb-s1-p.mlstatic.com/ray-ban-justin-polarizado-wayfarer-rb-4165-ccertiforiginal-20670-MLB20195741351_112014-O.ray-ban-justin-polarizado-wayfarer-rb-4165-ccertiforiginal-20670-MLB20195741351_112014-O,Sunglasses
,11113-BG,EUR 9500,,,2,BLACK,GOLD,Black/Gold,,,,,,,,,,,http://www.sportrx.com/media/catalog/product/r/a/rayban_rb4165_rubberblack_rb4165-6018g-5116_1_1.png,
,11113-BU,EUR 9500,,,3,BLACK,BLUE,Black/Blue,,,,,,,,,,,,
focali-product,11114-B,USD 14000,Vogue VO,"Sahne küsst Kaffee beim Modell VO 2557B 1345 von Vogue! Ein optischer Leckerbissen der Extraklasse! Rechteckige, eher schmal geschnittene Gläser bieten Ihnen hier vollen Durchblick. Breite, sich stark verjüngende Bügel liegen angenehm hinter den Ohren auf. Federscharniere sorgen hier wiederum für kinderleichtes Auf- und Absetzen der Brille. Der Clou: Das zweifarbige Gestell mit einer mokkaschwarzen Außenseite und einem cremeweißen Innenleben. Highlight hier: funkelnde Deko-Elemente aus Strass-Steinen an den Scharnieren. Eine feminine Brille, die besonders rundlicheren Gesichtern schmeicheln wird! Lassen Sie Ihre perfekt gerahmten Augen zum Sahnehäubchen dieses Ensembles werden!",1,BLACK,,Black,RECTANGLE,Plastic,OPTICAL,false,NARROW,true,false,PROGRESSIVE,WOMEN,USD 200000,http://www.discountkart.com/images/products/Vogue-VO-2647-1688-1.jpg,Eyewear
,11114-R,USD 14000,,,2,BLUE,,Blue/Black,,,,,,,,,,USD 200000,http://www.opticrange.com/admin/upload/VOGUE%20VO%202689%20W44%20FRAME_1.jpg,
